pays, 				 population
Afghanistan,			29121286
Aland Islands,			26711
Albania,			2986952
Algeria,			34586184
American Samoa,			57881
Andorra,			84000
Angola,			13068161
Anguilla,			13254
Antarctica,			0
Antigua and Barbuda,			86754
Argentina,			41343201
Armenia,			2968000
Aruba,			71566
Australia,			21515754
Austria,			8205000
Azerbaijan,			8303512
Bahamas,			301790
Bahrain,			738004
Bangladesh,			156118464
Barbados,			285653
Belarus,			9685000
Belgium,			10403000
Belize,			314522
Benin,			9056010
Bermuda,			65365
Bhutan,			699847
Bolivia,			9947418
Bonaire, Saint Eustatius and Saba,			18012
Bosnia and Herzegovina,			4590000
Botswana,			2029307
Bouvet Island,			0
Brazil,			201103330
British Indian Ocean Territory,			4000
British Virgin Islands,			21730
Brunei,			395027
Bulgaria,			7148785
Burkina Faso,			16241811
Burundi,			9863117
Cambodia,			14453680
Cameroon,			19294149
Canada,			33679000
Cape Verde,			508659
Cayman Islands,			44270
Central African Republic,			4844927
Chad,			10543464
Chile,			16746491
China,			1330044000
Christmas Island,			1500
Cocos Islands,			628
Colombia,			44205293
Comoros,			773407
Cook Islands,			21388
Costa Rica,			4516220
Croatia,			4491000
Cuba,			11423000
Curacao,			141766
Cyprus,			1102677
Czech Republic,			10476000
Democratic Republic of the Congo,			70916439
Denmark,			5484000
Djibouti,			740528
Dominica,			72813
Dominican Republic,			9823821
East Timor,			1154625
Ecuador,			14790608
Egypt,			80471869
El Salvador,			6052064
Equatorial Guinea,			1014999
Eritrea,			5792984
Estonia,			1291170
Ethiopia,			88013491
Falkland Islands,			2638
Faroe Islands,			48228
Fiji,			875983
Finland,			5244000
France,			64768389
French Guiana,			195506
French Polynesia,			270485
French Southern Territories,			140
Gabon,			1545255
Gambia,			1593256
Georgia,			4630000
Germany,			81802257
Ghana,			24339838
Gibraltar,			27884
Greece,			11000000
Greenland,			56375
Grenada,			107818
Guadeloupe,			443000
Guam,			159358
Guatemala,			13550440
Guernsey,			65228
Guinea,			10324025
Guinea-Bissau,			1565126
Guyana,			748486
Haiti,			9648924
Heard Island and McDonald Islands,			0
Honduras,			7989415
Hong Kong,			6898686
Hungary,			9982000
Iceland,			308910
India,			1173108018
Indonesia,			242968342
Iran,			76923300
Iraq,			29671605
Ireland,			4622917
Isle of Man,			75049
Israel,			7353985
Italy,			60340328
Ivory Coast,			21058798
Jamaica,			2847232
Japan,			127288000
Jersey,			90812
Jordan,			6407085
Kazakhstan,			15340000
Kenya,			40046566
Kiribati,			92533
Kosovo,			1800000
Kuwait,			2789132
Kyrgyzstan,			5508626
Laos,			6368162
Latvia,			2217969
Lebanon,			4125247
Lesotho,			1919552
Liberia,			3685076
Libya,			6461454
Liechtenstein,			35000
Lithuania,			3565000
Luxembourg,			497538
Macao,			449198
Macedonia,			2062294
Madagascar,			21281844
Malawi,			15447500
Malaysia,			28274729
Maldives,			395650
Mali,			13796354
Malta,			403000
Marshall Islands,			65859
Martinique,			432900
Mauritania,			3205060
Mauritius,			1294104
Mayotte,			159042
Mexico,			112468855
Micronesia,			107708
Moldova,			4324000
Monaco,			32965
Mongolia,			3086918
Montenegro,			666730
Montserrat,			9341
Morocco,			31627428
Mozambique,			22061451
Myanmar,			53414374
Namibia,			2128471
Nauru,			10065
Nepal,			28951852
Netherlands,			16645000
Netherlands Antilles,			136197
New Caledonia,			216494
New Zealand,			4252277
Nicaragua,			5995928
Niger,			15878271
Nigeria,			154000000
Niue,			2166
Norfolk Island,			1828
North Korea,			22912177
Northern Mariana Islands,			53883
Norway,			5009150
Oman,			2967717
Pakistan,			184404791
Palau,			19907
Palestinian Territory,			3800000
Panama,			3410676
Papua New Guinea,			6064515
Paraguay,			6375830
Peru,			29907003
Philippines,			99900177
Pitcairn,			46
Poland,			38500000
Portugal,			10676000
Puerto Rico,			3916632
Qatar,			840926
Republic of the Congo,			3039126
Reunion,			776948
Romania,			21959278
Russia,			140702000
Rwanda,			11055976
Saint Barthelemy,			8450
Saint Helena,			7460
Saint Kitts and Nevis,			51134
Saint Lucia,			160922
Saint Martin,			35925
Saint Pierre and Miquelon,			7012
Saint Vincent and the Grenadines,			104217
Samoa,			192001
San Marino,			31477
Sao Tome and Principe,			175808
Saudi Arabia,			25731776
Senegal,			12323252
Serbia,			7344847
Serbia and Montenegro,			10829175
Seychelles,			88340
Sierra Leone,			5245695
Singapore,			4701069
Sint Maarten,			37429
Slovakia,			5455000
Slovenia,			2007000
Solomon Islands,			559198
Somalia,			10112453
South Africa,			49000000
South Georgia and the South Sandwich Islands,			30
South Korea,			48422644
South Sudan,			8260490
Spain,			46505963
Sri Lanka,			21513990
Sudan,			35000000
Suriname,			492829
Svalbard and Jan Mayen,			2550
Swaziland,			1354051
Sweden,			9555893
Switzerland,			7581000
Syria,			22198110
Taiwan,			22894384
Tajikistan,			7487489
Tanzania,			41892895
Thailand,			67089500
Togo,			6587239
Tokelau,			1466
Tonga,			122580
Trinidad and Tobago,			1228691
Tunisia,			10589025
Turkey,			77804122
Turkmenistan,			4940916
Turks and Caicos Islands,			20556
Tuvalu,			10472
U.S. Virgin Islands,			108708
Uganda,			33398682
Ukraine,			45415596
United Arab Emirates,			4975593
United Kingdom,			62348447
United States,			310232863
United States Minor Outlying Islands,			0
Uruguay,			3477000
Uzbekistan,			27865738
Vanuatu,			221552
Vatican,			921
Venezuela,			27223228
Vietnam,			89571130
Wallis and Futuna,			16025
Western Sahara,			273008
Yemen,			23495361
Zambia,			13460305
Zimbabwe,			11651858
